r, s, d
1000, 1000, 2.2837567000000263
1000, 2000, 1.3528802880000512
1000, 4000, 1.3234797579999622
1000, 6000, 1.3238995289999593
1000, 8000, 1.359653938000065
1000, 10000, 1.3128960679999864
3000, 1000, 2.505447027999935
3000, 2000, 2.159223751000013
3000, 4000, 2.8603483010000446
3000, 6000, 2.690801683000018
3000, 8000, 2.211032261000014
3000, 10000, 2.2056791649999923
10000, 1000, 6.114783959999954
10000, 2000, 4.055154435000077
10000, 4000, 4.692238902999975
10000, 6000, 5.322853584999962
10000, 8000, 6.147346173999949
10000, 10000, 7.87712274699993
30000, 1000, 16.850759426999957
30000, 2000, 9.486868211
30000, 4000, 11.931712402000016
30000, 6000, 13.167960050000033
30000, 8000, 13.834255859999985
30000, 10000, 14.321538933999932
100000, 1000, 53.09755944200003
100000, 2000, 28.238668481000104
100000, 4000, 33.85633716899997
100000, 6000, 36.82904363300008
100000, 8000, 40.246204918999865
100000, 10000, 41.588509767999994
300000, 1000, 156.06388199399998
300000, 2000, 82.172751629
300000, 4000, 91.79954207900005
300000, 6000, 99.19457170800001
300000, 8000, 105.0017147179999
300000, 10000, 110.50066941
